city_id,city,country,date,latitude,longitude,temperature,max temperature,humidity,cloudiness,wind speed
136,Baracoa,CU,1610068069,20.3467,-74.4958,74.8,74.8,76,78,5.32
137,Canavieiras,BR,1610068070,-15.675,-38.9472,75.58,75.58,84,0,6.78
138,Dārayyā,SY,1610068071,33.459,36.2374,39.2,39.2,70,0,3.83
139,Yumen,CN,1610068073,40.2833,97.2,0.59,0.59,78,0,13.69
140,Chapais,CA,1610068074,49.7834,-74.8492,12.2,12.2,92,90,10.36
141,West Odessa,US,1610068075,31.8424,-102.4988,46.15,48.99,36,1,9.22
142,Mar del Plata,AR,1610068076,-38.0023,-57.5575,63.84,64.4,88,90,9.22
143,Mount Isa,AU,1610068077,-20.7333,139.5,95.0,95.0,18,0,17.27
144,Sørland,NO,1610068079,67.667,12.6934,33.84,33.84,88,100,16.02
145,Comodoro Rivadavia,AR,1610068080,-45.8667,-67.5,62.6,62.6,59,40,5.75
146,Maragogi,BR,1610068081,-9.0122,-35.2225,77.76,77.76,81,7,8.75
147,Laguna,US,1610068082,38.421,-121.4238,48.85,50.0,71,1,2.24
148,Grindavik,IS,1610068084,63.8424,-22.4338,41.0,41.0,100,90,25.32
149,Castro,BR,1610068087,-24.7911,-50.0119,66.34,66.34,96,100,6.87
150,Tasiilaq,GL,1610068088,65.6145,-37.6368,24.8,24.8,46,75,21.85
151,Boquira,BR,1610068090,-12.8231,-42.7306,75.09,75.09,52,45,3.98
152,Champerico,GT,1610068091,14.3,-91.9167,73.26,78.8,78,40,4.61
153,Poconé,BR,1610068092,-16.2567,-56.6228,78.91,78.91,76,97,3.56
154,Puerto Ayora,EC,1610068093,-0.7393,-90.3518,73.99,73.99,92,48,1.99
155,Santa Isabel,BR,1610068095,-23.3156,-46.2214,72.39,73.99,88,75,6.91
156,Bukachacha,RU,1610068096,52.9833,116.9167,-17.27,-17.27,82,0,2.68
157,Līsakovsk,KZ,1610068097,52.5369,62.4936,-6.57,-6.57,85,100,8.01
158,Phanom Sarakham,TH,1610068098,13.7479,101.3553,81.0,82.0,77,0,13.73
159,São Filipe,CV,1610068099,14.8961,-24.4956,75.13,75.13,76,0,7.38
160,Dingle,PH,1610068101,10.9995,122.6711,79.05,79.05,88,100,12.12
161,Lumeje,AO,1610068102,-11.55,20.7833,65.62,65.62,93,100,7.56
162,Pouébo,NC,1610068103,-20.4,164.5667,85.46,85.46,69,63,3.27
163,Ulaanbaatar,MN,1610068062,47.9077,106.8832,-9.4,-9.4,77,0,6.71
164,Gari,RU,1610068105,59.4307,62.3497,1.65,1.65,94,100,6.6
165,Gostilitsy,RU,1610068106,59.7483,29.622,24.44,24.8,86,75,11.18
166,Atuona,PF,1610068108,-9.8,-139.0333,77.61,77.61,72,52,13.98
167,Tiznit Province,MA,1610068109,29.5833,-9.5,60.64,60.64,78,0,8.95
168,Dongsheng,CN,1610068110,39.8161,109.9776,-1.66,-1.66,68,0,21.0
169,Meulaboh,ID,1610068111,4.1363,96.1285,77.22,77.22,86,3,4.27
170,Saint-Philippe,RE,1610068112,-21.3585,55.7679,70.54,75.2,73,0,4.61
171,Vostok,RU,1610068114,46.4856,135.8833,-18.76,-18.76,82,100,3.71
172,Grand Gaube,MU,1610068115,-20.0064,57.6608,73.0,73.0,76,0,3.0
173,Ca Mau,VN,1610068039,9.1769,105.15,78.26,78.26,74,85,11.63
174,Dicabisagan,PH,1610068117,17.0818,122.4157,74.35,74.35,85,100,11.21
175,Thinadhoo,MV,1610067941,0.5333,72.9333,83.03,83.03,79,100,17.29
176,Thompson,CA,1610068120,55.7435,-97.8558,19.4,19.4,93,20,4.61
177,Spirit River,CA,1610068121,55.7833,-118.8361,26.6,26.6,68,1,4.61
178,Saint Paul Harbor,US,1610068122,57.79,-152.4072,37.4,37.4,93,90,5.75
179,Mēga,ET,1610068123,4.05,38.3,56.82,56.82,43,0,5.35
180,Tshane,BW,1610068124,-24.0196,21.8684,73.31,73.31,72,100,12.24
181,Bintulu,MY,1610068126,3.1667,113.0333,77.0,77.0,94,20,3.44
182,Khuzhir,RU,1610068128,53.1939,107.3397,0.28,0.28,88,75,9.28
183,Los Llanos de Aridane,ES,1610068129,28.6585,-17.9182,59.95,66.2,77,40,5.75
184,College,US,1610068066,64.8569,-147.8028,3.69,6.8,78,75,3.09
185,Itoman,JP,1610068084,26.1247,127.6694,51.96,53.6,71,75,27.63
186,Bredasdorp,ZA,1610068133,-34.5322,20.0403,64.4,64.4,77,0,3.6
187,Xining,CN,1610068134,36.6167,101.7667,4.51,4.51,73,0,1.41
188,Starosubkhangulovo,RU,1610068136,53.1031,57.4423,6.03,6.03,91,27,3.53
189,Codrington,AU,1610068137,-38.2667,141.9667,69.04,69.04,63,0,13.09
190,Pangnirtung,CA,1610068139,66.1451,-65.7125,-13.02,-13.02,63,0,2.24
191,Pemba,MZ,1610068140,-12.974,40.5178,78.4,78.8,94,20,9.22
192,Margate,GB,1610068141,51.3813,1.3862,32.68,34.0,85,82,1.99
193,Slavsk,RU,1610068143,55.0425,21.677,29.39,29.39,99,100,3.91
194,Biak,ID,1610068145,-0.9131,122.8766,81.43,81.43,74,100,2.24
195,Bilma,NE,1610068146,18.6853,12.9164,72.27,72.27,20,0,5.41
196,Portneuf,CA,1610068147,46.6906,-71.8901,23.47,24.8,80,0,5.75
197,Kununurra,AU,1610068148,-15.7667,128.7333,89.6,89.6,74,12,4.61
198,São Francisco,BR,1610068149,-15.9486,-44.8644,73.6,73.6,84,62,4.47
199,Rio Grande,BR,1610068151,-32.035,-52.0986,77.0,77.0,86,1,5.14
200,Hilo,US,1610067804,19.7297,-155.09,74.98,80.6,57,20,10.36
201,Kloulklubed,PW,1610068154,7.0419,134.2556,80.6,80.6,89,90,4.61
202,Gravelbourg,CA,1610068155,49.8834,-106.5512,26.6,26.6,86,100,3.44
203,Padang,ID,1610068157,-0.9492,100.3543,81.48,81.48,70,100,3.51
204,Pimentel,PE,1610068158,-6.8367,-79.9342,69.8,69.8,83,0,19.57
205,Port Keats,AU,1610068159,-14.25,129.55,91.38,91.38,54,0,5.66
206,Elliot,ZA,1610068160,-31.3333,27.85,62.55,62.55,62,0,6.06
